CustomerID,Age,Gender,AnnualIncome,TenureYears,PreferredChannel,PreferredCategory,Recency,Frequency,MonetaryValue,AvgBasketSize,LoyaltyMember,Segment,SegmentLabel
CUST00141,45,Female,31185.66,2.81,Online,Fashion,129,1,355.97,355.97,1,1,At-Risk / Disengaged
CUST00142,27,Male,28532.64,0.43,In-Store,Home & Garden,12,16,518.72,32.42,1,2,Occasional Big Spenders
CUST00143,47,Female,132972.75,0.28,Online,Fashion,4,24,4543.05,189.29,0,0,VIP / Premium Loyalists
CUST00144,51,Male,117589.64,2.65,Online,Groceries,15,24,3536.79,147.37,1,0,VIP / Premium Loyalists
CUST00145,29,Female,42231.48,0.1,Mobile App,Sports,1,13,692.87,53.3,0,2,Occasional Big Spenders
CUST00146,37,Male,46177.81,2.31,Online,Home & Garden,15,15,591.17,39.41,1,2,Occasional Big Spenders
CUST00147,32,Female,80614.54,0.57,Online,Fashion,38,4,2885.87,721.47,0,3,Budget Shoppers
CUST00148,53,Male,88511.48,3.7,Mobile App,Electronics,53,7,2777.66,396.81,0,3,Budget Shoppers
CUST00149,31,Female,34377.3,2.59,In-Store,Groceries,14,34,644.81,18.96,0,2,Occasional Big Spenders
CUST00150,23,Male,45475.78,2.36,Online,Beauty,10,9,630.1,70.01,0,2,Occasional Big Spenders
CUST00151,57,Other,66200.72,0.52,In-Store,Beauty,107,5,308.14,61.63,1,1,At-Risk / Disengaged
CUST00152,31,Female,42860.59,3.55,Online,Electronics,20,22,535.84,24.36,1,2,Occasional Big Spenders
CUST00153,25,Male,31770.81,0.13,In-Store,Groceries,7,20,909.38,45.47,0,2,Occasional Big Spenders
CUST00154,36,Female,113830.42,2.16,Online,Groceries,9,27,4204.65,155.73,1,0,VIP / Premium Loyalists
CUST00155,22,Other,56424.61,3.81,Mobile App,Groceries,114,4,442.49,110.62,1,1,At-Risk / Disengaged
CUST00156,40,Male,28557.03,1.17,Mobile App,Groceries,20,19,645.63,33.98,1,2,Occasional Big Spenders
CUST00157,29,Male,115517.81,1.7,Mobile App,Beauty,65,6,1314.7,219.12,0,3,Budget Shoppers
CUST00158,28,Female,42524.56,5.25,Mobile App,Fashion,150,4,199.21,49.8,0,1,At-Risk / Disengaged
CUST00159,26,Male,32065.4,1.58,In-Store,Groceries,12,13,842.31,64.79,1,2,Occasional Big Spenders
CUST00160,35,Male,67667.92,9.67,Online,Fashion,64,6,3657.59,609.6,1,4,Steady Regulars
CUST00161,38,Male,116487.19,0.77,Online,Groceries,3,31,3828.31,123.49,0,0,VIP / Premium Loyalists
CUST00162,40,Male,87762.8,2.57,In-Store,Home & Garden,53,5,3344.27,668.85,0,3,Budget Shoppers
CUST00163,39,Male,129900.72,5.12,Mobile App,Sports,30,5,3159.74,631.95,1,3,Budget Shoppers
CUST00164,40,Male,108024.99,5.94,Online,Home & Garden,55,4,3383.96,845.99,1,3,Budget Shoppers
CUST00165,30,Female,50199.06,1.19,Mobile App,Sports,14,13,766.06,58.93,1,2,Occasional Big Spenders
CUST00166,34,Female,53794.05,0.13,Mobile App,Home & Garden,118,3,186.89,62.3,1,1,At-Risk / Disengaged
CUST00167,48,Male,113809.99,5.61,Mobile App,Groceries,11,21,4610.48,219.55,0,0,VIP / Premium Loyalists
CUST00168,26,Female,42109.3,0.18,Mobile App,Fashion,11,21,542.03,25.81,0,2,Occasional Big Spenders
CUST00169,29,Female,49705.47,0.54,Online,Sports,13,16,597.09,37.32,1,2,Occasional Big Spenders
CUST00170,35,Female,66085.21,0.12,Online,Beauty,57,8,2195.23,274.4,0,3,Budget Shoppers
CUST00171,47,Male,125791.04,0.16,Online,Electronics,43,6,2849.04,474.84,1,3,Budget Shoppers
CUST00172,33,Male,37780.24,2.65,Online,Sports,24,19,696.29,36.65,0,2,Occasional Big Spenders
CUST00173,40,Female,113018.83,3.72,In-Store,Sports,4,7,2342.15,334.59,0,3,Budget Shoppers
CUST00174,18,Female,42086.43,1.5,Mobile App,Beauty,17,29,433.04,14.93,1,2,Occasional Big Spenders
CUST00175,53,Female,108358.29,1.67,Mobile App,Groceries,46,3,2627.76,875.92,1,3,Budget Shoppers
CUST00176,23,Female,38393.87,1.06,In-Store,Home & Garden,16,25,691.67,27.67,0,2,Occasional Big Spenders
CUST00177,32,Male,98502.93,0.38,Online,Home & Garden,34,3,2371.76,790.59,1,3,Budget Shoppers
CUST00178,45,Female,105596.11,1.32,Online,Fashion,1,27,3207.95,118.81,0,0,VIP / Premium Loyalists
CUST00179,36,Male,28136.73,2.16,Online,Groceries,111,2,338.3,169.15,0,1,At-Risk / Disengaged
CUST00180,34,Male,38018.81,1.44,Online,Beauty,14,14,570.85,40.78,1,2,Occasional Big Spenders
CUST00181,42,Female,94079.48,15.0,In-Store,Groceries,12,24,5720.95,238.37,1,4,Steady Regulars
CUST00182,27,Male,31807.11,0.79,Online,Groceries,10,11,321.3,29.21,1,2,Occasional Big Spenders
CUST00183,38,Male,57630.88,0.89,Online,Home & Garden,73,4,242.03,60.51,0,1,At-Risk / Disengaged
CUST00184,37,Female,52173.01,1.45,Online,Beauty,102,2,341.14,170.57,0,1,At-Risk / Disengaged
CUST00185,18,Male,29246.77,0.13,In-Store,Electronics,13,13,580.31,44.64,1,2,Occasional Big Spenders
CUST00186,39,Other,104214.63,1.12,Online,Sports,42,8,3609.97,451.25,0,3,Budget Shoppers
CUST00187,34,Other,50282.74,3.86,Online,Home & Garden,141,3,414.38,138.13,0,1,At-Risk / Disengaged
CUST00188,41,Female,96050.32,1.66,Online,Beauty,34,3,2348.1,782.7,1,3,Budget Shoppers
CUST00189,33,Male,96671.21,2.64,Mobile App,Fashion,47,4,3686.0,921.5,1,3,Budget Shoppers
CUST00190,23,Male,38767.83,0.48,Online,Sports,22,27,488.18,18.08,0,2,Occasional Big Spenders
CUST00191,32,Male,29635.04,3.73,In-Store,Sports,26,17,643.3,37.84,0,2,Occasional Big Spenders
CUST00192,38,Male,22710.38,2.76,In-Store,Home & Garden,99,1,440.55,440.55,0,1,At-Risk / Disengaged
CUST00193,47,Male,66900.58,6.62,In-Store,Fashion,87,2,167.32,83.66,0,1,At-Risk / Disengaged
CUST00194,36,Other,77640.72,2.53,Mobile App,Home & Garden,39,6,2687.06,447.84,0,3,Budget Shoppers
CUST00195,41,Male,105815.56,1.81,Online,Groceries,1,19,4971.88,261.68,1,0,VIP / Premium Loyalists
CUST00196,58,Female,147827.76,0.11,Online,Beauty,6,24,3282.67,136.78,1,0,VIP / Premium Loyalists
CUST00197,43,Male,95115.6,0.44,Online,Fashion,38,6,2738.15,456.36,1,3,Budget Shoppers
CUST00198,31,Female,22943.28,6.58,In-Store,Sports,109,3,327.48,109.16,1,1,At-Risk / Disengaged
CUST00199,49,Female,55544.63,2.34,Online,Home & Garden,117,4,111.49,27.87,0,1,At-Risk / Disengaged
CUST00200,21,Male,52749.5,5.38,Online,Sports,85,5,330.05,66.01,1,1,At-Risk / Disengaged
CUST00201,22,Male,85231.87,0.79,In-Store,Fashion,33,5,2682.3,536.46,0,3,Budget Shoppers
CUST00202,25,Female,35488.92,0.22,In-Store,Sports,19,23,326.29,14.19,0,2,Occasional Big Spenders
CUST00203,37,Female,27644.92,1.45,Online,Home & Garden,1,17,765.14,45.01,1,2,Occasional Big Spenders
CUST00204,59,Female,43281.28,2.35,In-Store,Home & Garden,82,3,231.88,77.29,0,1,At-Risk / Disengaged
CUST00205,40,Male,103418.48,0.33,In-Store,Electronics,61,6,3015.64,502.61,0,3,Budget Shoppers
CUST00206,25,Male,29676.12,5.94,Online,Sports,22,17,424.11,24.95,1,2,Occasional Big Spenders
CUST00207,33,Female,34588.85,2.15,Online,Electronics,1,24,464.14,19.34,1,2,Occasional Big Spenders
CUST00208,32,Female,99328.48,5.02,In-Store,Electronics,9,11,2611.2,237.38,1,3,Budget Shoppers
CUST00209,27,Male,37284.43,0.34,In-Store,Sports,19,21,683.34,32.54,0,2,Occasional Big Spenders
CUST00210,27,Female,44326.45,1.07,Online,Fashion,13,17,750.53,44.15,1,2,Occasional Big Spenders
CUST00211,44,Male,98505.25,2.95,Online,Groceries,45,5,3586.88,717.38,1,3,Budget Shoppers
CUST00212,47,Male,87620.71,0.82,In-Store,Home & Garden,34,8,2427.91,303.49,0,3,Budget Shoppers
CUST00213,47,Male,104235.54,3.5,Mobile App,Beauty,56,7,2350.96,335.85,1,3,Budget Shoppers
CUST00214,29,Male,40576.82,1.43,In-Store,Electronics,24,21,667.45,31.78,0,2,Occasional Big Spenders
CUST00215,38,Female,79126.26,1.07,Online,Fashion,43,5,2327.38,465.48,1,3,Budget Shoppers
CUST00216,26,Male,35854.3,0.53,Online,Sports,14,18,691.29,38.4,0,2,Occasional Big Spenders
CUST00217,45,Male,93658.23,1.06,Mobile App,Fashion,11,30,2913.95,97.13,0,0,VIP / Premium Loyalists
CUST00218,31,Female,110712.55,5.91,Online,Fashion,36,6,3290.52,548.42,0,3,Budget Shoppers
CUST00219,36,Female,58930.48,1.11,Mobile App,Sports,55,4,2841.95,710.49,1,3,Budget Shoppers
CUST00220,38,Female,37179.91,1.79,Mobile App,Beauty,130,3,420.45,140.15,0,1,At-Risk / Disengaged
CUST00221,54,Female,117301.03,4.32,Online,Sports,48,5,3364.99,673.0,0,3,Budget Shoppers
CUST00222,29,Male,99258.47,3.73,Mobile App,Beauty,66,4,2845.69,711.42,1,3,Budget Shoppers
CUST00223,27,Female,20847.39,2.07,Online,Sports,9,16,521.39,32.59,0,2,Occasional Big Spenders
CUST00224,46,Female,97476.2,0.26,Mobile App,Electronics,8,30,3373.7,112.46,0,0,VIP / Premium Loyalists
CUST00225,31,Female,28062.96,2.77,Online,Beauty,10,16,398.12,24.88,1,2,Occasional Big Spenders
CUST00226,23,Male,43219.37,3.61,Online,Electronics,10,17,741.75,43.63,0,2,Occasional Big Spenders
CUST00227,40,Male,48451.67,3.0,In-Store,Beauty,128,2,50.0,25.0,0,1,At-Risk / Disengaged
CUST00228,44,Female,120444.87,5.73,In-Store,Beauty,5,25,4254.7,170.19,0,0,VIP / Premium Loyalists
CUST00229,36,Female,52959.74,0.15,Online,Sports,101,3,373.89,124.63,1,1,At-Risk / Disengaged
CUST00230,49,Female,102342.65,1.53,In-Store,Beauty,43,1,2811.82,2811.82,1,3,Budget Shoppers
CUST00231,28,Female,31689.31,5.18,Online,Electronics,105,3,245.61,81.87,1,1,At-Risk / Disengaged
CUST00232,51,Female,87860.08,5.3,Online,Sports,52,5,4272.66,854.53,0,3,Budget Shoppers
CUST00233,44,Female,75706.57,3.35,Online,Home & Garden,22,8,3063.49,382.94,0,3,Budget Shoppers
CUST00234,38,Female,131503.52,0.89,Online,Electronics,3,33,3590.87,108.81,0,0,VIP / Premium Loyalists
CUST00235,25,Male,39825.5,0.47,Online,Home & Garden,11,17,606.14,35.66,0,2,Occasional Big Spenders
CUST00236,29,Female,67544.26,1.3,Online,Fashion,28,6,952.83,158.8,0,2,Occasional Big Spenders
CUST00237,39,Female,41276.83,1.7,Online,Sports,15,17,603.37,35.49,1,2,Occasional Big Spenders
CUST00238,30,Male,43428.9,5.6,Online,Fashion,9,19,832.14,43.8,1,2,Occasional Big Spenders
CUST00239,44,Male,105652.65,1.07,Online,Sports,40,5,2871.3,574.26,0,3,Budget Shoppers
CUST00240,35,Male,42909.35,0.92,Mobile App,Sports,4,21,701.54,33.41,1,2,Occasional Big Spenders
CUST00241,18,Female,37572.54,0.18,Online,Electronics,117,1,278.9,278.9,0,1,At-Risk / Disengaged
CUST00242,55,Male,58056.36,0.77,Mobile App,Home & Garden,122,3,222.0,74.0,0,1,At-Risk / Disengaged
CUST00243,30,Female,45234.27,5.0,In-Store,Sports,158,4,166.63,41.66,0,1,At-Risk / Disengaged
CUST00244,47,Male,84037.46,1.69,In-Store,Home & Garden,14,17,4878.85,286.99,1,0,VIP / Premium Loyalists
